1-30 d,1-30 రోజులు
KUMAR warranty on this pump,ఈ పంప్ మీద KUMAR వారంటీ
"Kumar Building, Wahab Road, Tenali - 522 201, Guntur Dist., Andhra Pradesh","కుమార్ బిల్డింగ్, వాహబ్ రోడ్, తెనాలి - 522 201, గుంటూరు జిల్లా, ఆంధ్రప్రదేశ్"
Kumar Service Settings,కుమార్ సర్వీస్ సెట్టింగ్‌లు
Kumar Warranty Claim,కుమార్ వారంటీ క్లెయిమ్
Lab Approval,ల్యాబ్ ఆమోదం
Labour Charge,కూలీ ఛార్జీ
Landline,ల్యాండ్‌లైన్
Last 30 Days,గత 30 రోజులు
Last Month,గత నెల
Last Net Pay,చివరి నికర జీతం
Last Sale,చివరి అమ్మకం
Latest payroll run,చివరి జీతాల రన్
Leakage,లీకేజీ
Leave,సెలవు
Leave 0 to inherit the category default,కేటగిరీ డిఫాల్ట్‌ను తీసుకోవాలంటే 0 గా ఉంచండి
Leave Application,సెలవు దరఖాస్తు
Links,లింక్‌లు
"Load pumps that were built and sold before this system went live. Every row becomes a Serial No; every row that carries a sale date also becomes a submitted registration, with the warranty already running.",ఈ సిస్టమ్ మొదలవ్వక ముందు తయారై అమ్ముడైన పంపులను ఎక్కించండి. ప్రతి వరుస ఒక సీరియల్ నంబర్ అవుతుంది; అమ్మిన తేదీ ఉన్న ప్రతి వరుస సబ్మిట్ చేసిన రిజిస్ట్రేషన్‌గా మారి వారంటీ కూడా మొదలవుతుంది.
Loading...,లోడ్ అవుతోంది...
Lodge Claim with KUMAR,KUMAR తో క్లెయిమ్ నమోదు చేయండి
"Log what the customer is reporting. We answer immediately whether the visit is free, and the response clock starts the moment you submit.","కస్టమర్ చెబుతున్నది నమోదు చేయండి. సందర్శన ఉచితమా కాదా వెంటనే చెబుతాం, మీరు సబ్మిట్ చేసిన క్షణం నుండే స్పందన సమయం మొదలవుతుంది."
Look Up,వివరాలు చూడు
Looking up {0}...,{0} వివరాలు చూస్తున్నాం...
Low,తక్కువ
Low Discharge,తక్కువ డిశ్చార్జ్
MSME National Award 2010 for Outstanding Entrepreneurship,అత్యుత్తమ వ్యవస్థాపనకు MSME జాతీయ పురస్కారం 2010
Machine,మెషీన్
Machining,మెషీనింగ్
Management,మేనేజ్‌మెంట్
Management Dashboard,మేనేజ్‌మెంట్ డాష్‌బోర్డ్
Manufactured,తయారైన తేదీ
Manufactured On,తయారు చేసిన తేదీ
Manufacturing,తయారీ
Manufacturing Date,తయారీ తేదీ
Manufacturing Defect,తయారీ లోపం
Manufacturing Genealogy,తయారీ వంశవృక్షం
Manufacturing Reports,తయారీ రిపోర్టులు
Manufacturing date {0} is not a date,తయారీ తేదీ {0} సరైన తేదీ కాదు
Markets,మార్కెట్లు
Masters,మాస్టర్లు
Material,మెటీరియల్
Material Request,మెటీరియల్ రిక్వెస్ట్
Mechanical,యాంత్రిక
Medium,మధ్యస్థం
Melting & Pouring,మెల్టింగ్ & పోరింగ్
Misuse,తప్పుగా వాడటం
Mobile,మొబైల్
Mobile No,మొబైల్ నంబర్
Mobile {0} must be 10 digits starting 6-9,మొబైల్ {0} 6-9 తో మొదలై 10 అంకెలు ఉండాలి
Model,మోడల్
Model Code,మోడల్ కోడ్
Model Reliability,మోడల్ నమ్మకత
Models,మోడల్‌లు
Models Built,తయారైన మోడల్‌లు
Money,డబ్బు
Money still to collect,ఇంకా వసూలు కావాల్సిన డబ్బు
Month,నెల
Monthly Base,నెలవారీ మూల జీతం
Most Absences,ఎక్కువ గైర్హాజరు
Motor Burnt,మోటార్ కాలిపోయింది
Moulding,మౌల్డింగ్
My Business,నా వ్యాపారం
My Claims,నా క్లెయిమ్‌లు
My Registrations,నా రిజిస్ట్రేషన్లు
My Tickets,నా టికెట్లు
NOT REGISTERED,రిజిస్టర్ కాలేదు
NOT REGISTERED - ask the dealer to complete registration first,రిజిస్టర్ కాలేదు - ముందు రిజిస్ట్రేషన్ పూర్తి చేయమని డీలర్‌ను అడగండి
Name,పేరు
Net,నికరం
Net Paid,చెల్లించిన నికరం
Net of Tax,పన్ను మినహాయించి
Net sales less cost of goods sold ({0}),నికర అమ్మకాలు మైనస్ అమ్మిన సరుకుల ఖర్చు ({0})
Network,నెట్‌వర్క్
New Service Request,కొత్త సర్వీస్ రిక్వెస్ట్
New registrations,కొత్త రిజిస్ట్రేషన్లు
New serials,కొత్త సీరియల్‌లు
No,కాదు
No - under warranty,కాదు - వారంటీలో ఉంది
No Discharge,డిశ్చార్జ్ లేదు
No KUMAR invoice found for this pump - raise it first.,ఈ పంప్‌కు KUMAR ఇన్‌వాయిస్ కనిపించలేదు - ముందు దాన్ని జారీ చేయండి.
No Load Current (A),నో లోడ్ కరెంట్ (A)
No dealer could be determined for your login,మీ లాగిన్‌కు డీలర్‌ను నిర్ణయించలేకపోయాం
No dealers match.,సరిపోలే డీలర్లు లేవు.
No earlier period to compare,పోల్చడానికి గత కాలం లేదు
No employees match.,సరిపోలే ఉద్యోగులు లేరు.
No invoices match.,సరిపోలే ఇన్‌వాయిస్‌లు లేవు.
No payroll has been run yet.,ఇంకా జీతాలు ప్రాసెస్ చేయలేదు.
No previous service requests for this pump.,ఈ పంప్‌కు ఇంతకుముందు సర్వీస్ రిక్వెస్ట్‌లు లేవు.
No pump found with serial number {0}. Check the nameplate and try again.,{0} సీరియల్ నంబర్‌తో పంప్ కనిపించలేదు. నేమ్‌ప్లేట్ చూసి మళ్ళీ ప్రయత్నించండి.
No pump with serial {0}. Check the nameplate.,{0} సీరియల్ ఉన్న పంప్ లేదు. నేమ్‌ప్లేట్ చూసి సరిచూడండి.
No sales in this period.,ఈ కాలంలో అమ్మకాలు లేవు.
No sales yet in this period.,ఈ కాలంలో ఇంకా అమ్మకాలు లేవు.
No serialised units on this entry.,ఈ ఎంట్రీలో సీరియల్ ఉన్న యూనిట్లు లేవు.
No supplier invoices match.,సరిపోలే సప్లయర్ ఇన్‌వాయిస్‌లు లేవు.
No warranties ending in the next 45 days.,వచ్చే 45 రోజుల్లో ముగిసే వారంటీలు లేవు.
No work orders match.,సరిపోలే వర్క్ ఆర్డర్‌లు లేవు.
Nobody was absent in this period.,ఈ కాలంలో ఎవరూ గైర్హాజరు కాలేదు.
Noise & Vibration,శబ్దం & వైబ్రేషన్
Noise (dB),శబ్దం (dB)
Not Registered,రిజిస్టర్ కాలేదు
Not a Defect,లోపం కాదు
Not due,గడువు రాలేదు
Not found,కనిపించలేదు
Not permitted,అనుమతి లేదు
Not sure,తెలియదు
Nothing expiring this month.,ఈ నెలలో ఏదీ ముగియడం లేదు.
Nothing in this period.,ఈ కాలంలో ఏమీ లేదు.
Nothing open. All your customers are looked after.,ఏదీ పెండింగ్‌లో లేదు. మీ కస్టమర్లందరినీ చూసుకున్నారు.
Nothing purchased in this period.,ఈ కాలంలో ఏమీ కొనలేదు.
Nothing was built in this period.,ఈ కాలంలో ఏమీ తయారు కాలేదు.
OUT OF SPEC: {0},స్పెక్ దాటింది: {0}
On-Site,ఇంటి వద్ద
Onboarding Date,చేర్చిన తేదీ
"One catalogue model, e.g. KSMB50P3(4x3). Specs here drive warranty and test limits.","ఒక కేటలాగ్ మోడల్, ఉదా. KSMB50P3(4x3). ఇక్కడి స్పెక్‌లే వారంటీ మరియు టెస్ట్ పరిమితులను నిర్ణయిస్తాయి."
One furnace melt. Chemistry is checked before pouring - this is the root of backward traceability.,ఒక ఫర్నేస్ మెల్ట్. పోయడానికి ముందే రసాయన కూర్పు తనిఖీ చేస్తారు - వెనక్కి ట్రేస్ చేయడానికి ఇదే మూలం.
One stator winding lot. Carried onto every serial built from it.,ఒక స్టేటర్ వైండింగ్ లాట్. దీని నుండి తయారైన ప్రతి సీరియల్‌కూ ఇది జోడించబడుతుంది.
Ongoing,కొనసాగుతోంది
Only a Quality Engineer can approve an out-of-spec heat,స్పెక్ దాటిన హీట్‌ను క్వాలిటీ ఇంజనీర్ మాత్రమే ఆమోదించగలరు
Only the rows that passed the check are written. Re-running is safe - a serial that already exists is left alone.,తనిఖీలో పాస్ అయిన వరుసలు మాత్రమే సేవ్ అవుతాయి. మళ్ళీ రన్ చేయడం సురక్షితం - ఇప్పటికే ఉన్న సీరియల్‌ను ముట్టుకోము.
Open,తెరిచి ఉంది
Open Attendance,హాజరు తెరువు
Open Complaints,తెరిచి ఉన్న ఫిర్యాదులు
Open Dealer Tree,డీలర్ వృక్షాన్ని తెరువు
Open Purchase Order List,పర్చేజ్ ఆర్డర్ జాబితా తెరువు
Open Requests,తెరిచి ఉన్న రిక్వెస్ట్‌లు
Open Requisitions,తెరిచి ఉన్న రిక్విజిషన్లు
Open Salary Slips,జీతం స్లిప్‌లు తెరువు
Open Sales Invoice List,సేల్స్ ఇన్‌వాయిస్ జాబితా తెరువు
Open Serial,సీరియల్ తెరువు
Open Work Order List,వర్క్ ఆర్డర్ జాబితా తెరువు
Open complaints,తెరిచి ఉన్న ఫిర్యాదులు
Open the ERP,ERP తెరవండి
Open the reconciliation report to see what is still unaccounted for,ఇంకా లెక్కలోకి రాని వాటిని చూడటానికి సరిపోలిక రిపోర్టును తెరవండి
Openwell Submersible Pumps,ఓపెన్‌వెల్ సబ్‌మెర్సిబుల్ పంపులు
Operation,ఆపరేషన్
Operator,ఆపరేటర్
Or type / scan the serial,లేదా సీరియల్ టైప్ చేయండి / స్కాన్ చేయండి
Order,ఆర్డర్
Order to Invoice,ఆర్డర్ నుండి ఇన్‌వాయిస్ వరకు
Ordered,ఆర్డర్ చేయబడింది
"Ordered, not received","ఆర్డర్ చేశాం, రాలేదు"
Orders,ఆర్డర్‌లు
Orders Placed,ఇచ్చిన ఆర్డర్‌లు
Orders Still Open,ఇంకా తెరిచి ఉన్న ఆర్డర్‌లు
Other,ఇతర
Other Pumps From This Batch,ఈ బ్యాచ్ నుండి తయారైన ఇతర పంపులు
"Our invoice. On a direct sale this IS the customer's invoice; through a dealer it is the invoice that sold the pump TO the dealer, kept for traceability only.","మన ఇన్‌వాయిస్. నేరుగా అమ్మినప్పుడు ఇదే కస్టమర్ ఇన్‌వాయిస్; డీలర్ ద్వారా అయితే ఇది డీలర్‌కు పంప్ అమ్మిన ఇన్‌వాయిస్, ట్రేసబిలిటీ కోసమే ఉంచుతాం."
Ours,మనవి
Out of warranty - chargeable,వారంటీ లేదు - ఛార్జీ ఉంటుంది
Out-of-Spec Override Reason,స్పెక్ దాటినా ఆమోదించిన కారణం
Outlet,అవుట్‌లెట్
Output,ఉత్పత్తి
Output by Shift,షిఫ్ట్ వారీ ఉత్పత్తి
Outstanding,బాకీ
Oven Temp (C),ఓవెన్ ఉష్ణోగ్రత (C)
Over Our Counter,మన కౌంటర్ మీద
Overall Result,మొత్తం ఫలితం
"PF, ESI and taxes","PF, ESI మరియు పన్నులు"
Packing Slip,ప్యాకింగ్ స్లిప్
Paid,చెల్లించబడింది
Painting & Packing,పెయింటింగ్ & ప్యాకింగ్
Parent Dealer,పేరెంట్ డీలర్
Part,పార్ట్
Part Replacement,పార్ట్ రిప్లేస్‌మెంట్
Parts,పార్ట్‌లు
Parts Used,వాడిన పార్ట్‌లు
Pass,పాస్
Passed,పాస్ అయింది
Passed + rejected ({0}) cannot exceed the quantity produced ({1}),పాస్ + తిరస్కరించినవి ({0}) తయారైన పరిమాణం ({1}) కంటే ఎక్కువ ఉండకూడదు
Payable,చెల్లించాల్సినది
Payable Ageing,చెల్లించాల్సిన బాకీల వయస్సు
Payable {0},చెల్లించాల్సినది {0}
Payment Entry,పేమెంట్ ఎంట్రీ
Payroll Runs,జీతాల రన్‌లు
Payroll for {0},{0} జీతాలు
Pending Claims,పెండింగ్ క్లెయిమ్‌లు
People,సిబ్బంది
People & Payroll,సిబ్బంది & జీతాలు
"People at Work, by Day",రోజువారీ పనికి వచ్చిన సిబ్బంది
Per person per month,ఒక్కరికి నెలకు
"Per pump, net of tax","పంప్‌కు, పన్ను మినహాయించి"
"Per-unit test record. On submit it stamps QC status on the Serial No, which gates dispatch.","ప్రతి యూనిట్‌కు ఒక టెస్ట్ రికార్డు. సబ్మిట్ చేసినప్పుడు సీరియల్ నంబర్ మీద QC స్థితిని ముద్రిస్తుంది, అదే డిస్పాచ్‌ను నియంత్రిస్తుంది."
Performance,పనితీరు
Performance Curve,పనితీరు కర్వ్
Performance Duty Points,పనితీరు డ్యూటీ పాయింట్లు
Performance Testing,పనితీరు పరీక్ష
Phase,ఫేజ్
Photo 1,ఫోటో 1
Photo 2,ఫోటో 2
Pick the pump you sold,మీరు అమ్మిన పంప్‌ను ఎంచుకోండి
Pincode,పిన్‌కోడ్
Piston Pumps,పిస్టన్ పంపులు
Planned,ప్లాన్ చేయబడింది
Planned Start,ప్లాన్ చేసిన ప్రారంభం
Plant,ప్లాంట్
Please log in to use the dealer portal,డీలర్ పోర్టల్ వాడటానికి లాగిన్ అవ్వండి
"Plot 9-14 &amp; 17-24, Industrial Estate, Sultanabad,","ప్లాట్ 9-14 &amp; 17-24, ఇండస్ట్రియల్ ఎస్టేట్, సుల్తానాబాద్,"
Portal User,పోర్టల్ యూజర్
Print,ప్రింట్
Print Certificate,సర్టిఫికెట్ ప్రింట్ చేయి
Print Warranty Certificate,వారంటీ సర్టిఫికెట్ ప్రింట్ చేయి
Print this on the nameplate. A phone camera opens the warranty page.,దీన్ని నేమ్‌ప్లేట్ మీద ప్రింట్ చేయండి. ఫోన్ కెమెరాతో వారంటీ పేజీ తెరుచుకుంటుంది.
Priority,ప్రాధాన్యత
Produced,ఉత్పత్తి అయింది
"Product family, e.g. Submersible Pumps. Drives the default warranty period.","ఉత్పత్తి కుటుంబం, ఉదా. సబ్‌మెర్సిబుల్ పంపులు. డిఫాల్ట్ వారంటీ కాలాన్ని ఇది నిర్ణయిస్తుంది."
Product range,ఉత్పత్తి శ్రేణి
Production,ఉత్పత్తి
Production Manager,ప్రొడక్షన్ మేనేజర్
Production Plan,ఉత్పత్తి ప్రణాళిక
Production Planning Report,ఉత్పత్తి ప్రణాళిక రిపోర్టు
Profit and Loss Statement,లాభ నష్టాల నివేదిక
Proof of Purchase,కొనుగోలు రుజువు
Pump Category,పంప్ కేటగిరీ
Pump Lookup,పంప్ వివరాలు
Pump Model,పంప్ మోడల్
Pump Model Spec Point,పంప్ మోడల్ స్పెక్ పాయింట్
Pump Model {0} does not exist,{0} పంప్ మోడల్ లేదు
Pump Registration,పంప్ రిజిస్ట్రేషన్
Pump Snapshot,పంప్ వివరాలు
Pump Test Certificate,పంప్ టెస్ట్ సర్టిఫికెట్
Pumps & Motors,పంపులు & మోటార్లు
Pumps &amp; Motors,పంపులు &amp; మోటార్లు
Pumps From This Heat,ఈ హీట్ నుండి తయారైన పంపులు
Pumps Registered,రిజిస్టర్ అయిన పంపులు
Pumps Sold,అమ్ముడైన పంపులు
Pumps Still in Warranty,ఇంకా వారంటీలో ఉన్న పంపులు
Pumps and motors begin under the KUMAR brand,"KUMAR బ్రాండ్ కింద పంపులు, మోటార్ల ఉత్పత్తి ప్రారంభం"
Pumps on hand right now,ఇప్పుడు చేతిలో ఉన్న పంపులు
Pumps sold each week,వారానికి అమ్ముడైన పంపులు
Pumps sold in the last 30 days,గత 30 రోజుల్లో అమ్ముడైన పంపులు
Pumps you sold,మీరు అమ్మిన పంపులు
Purchase,కొనుగోలు
Purchase Analytics,కొనుగోళ్ల విశ్లేషణ
Purchase Invoice,పర్చేజ్ ఇన్‌వాయిస్
Purchase Order,పర్చేజ్ ఆర్డర్
Purchase Receipt,పర్చేజ్ రిసీట్
Purchase Spend,కొనుగోలు ఖర్చు
QC Not Passed,QC పాస్ కాలేదు
QC Status,QC స్థితి
QC Status must be one of {0},QC స్థితి {0} లో ఒకటిగా ఉండాలి
QC {0} - serial marked {1},QC {0} - సీరియల్ {1} గా గుర్తించబడింది
QR Base URL,QR బేస్ URL
QR Code,QR కోడ్
QR URL,QR URL
QR for {0},{0} కోసం QR
Qty,పరిమాణం
Qty Passed,పాస్ అయిన పరిమాణం
Qty Produced,తయారైన పరిమాణం
Qty Rejected,తిరస్కరించిన పరిమాణం
Quality Engineer,క్వాలిటీ ఇంజనీర్
"Quality is a process, not a promise","నాణ్యత ఒక ప్రక్రియ, కేవలం మాట కాదు"
Quantity,పరిమాణం
Quantity must be at least 1,పరిమాణం కనీసం 1 ఉండాలి
Quotation,కొటేషన్
RPM,RPM
Raise Complaint,ఫిర్యాదు నమోదు చేయి
Raise a Complaint,ఫిర్యాదు నమోదు చేయండి
Raise a Warranty Claim,వారంటీ క్లెయిమ్ నమోదు చేయండి
Raised this period,ఈ కాలంలో వచ్చినవి
Range too wide,కాల పరిధి చాలా పెద్దది
Rate,ధర
Rating,రేటింగ్
"Reads the file back and reports every problem, row by row. Nothing is written.","ఫైల్‌ను తిరిగి చదివి, వరుస వరుసగా ప్రతి సమస్యను చెబుతుంది. ఏదీ సేవ్ కాదు."
Ready,సిద్ధం
Receivable,రావాల్సిన మొత్తం
Receivable Ageing,రావాల్సిన బాకీల వయస్సు
Received,అందింది
"Received, not invoiced","వచ్చింది, బిల్లు రాలేదు"
Recent Registrations,ఇటీవలి రిజిస్ట్రేషన్లు
"Record the heat number and winding batch on this card at the point of use, and enter them into the system at final assembly. Every finished pump must carry a serial number before it leaves the test bay.","హీట్ నంబర్ మరియు వైండింగ్ బ్యాచ్‌ను ఉపయోగించే చోటే ఈ కార్డు మీద రాయండి, ఫైనల్ అసెంబ్లీ దగ్గర సిస్టమ్‌లో నమోదు చేయండి. టెస్ట్ బే నుండి బయటకు వెళ్ళే ముందు ప్రతి పంప్‌కు సీరియల్ నంబర్ ఉండాలి."
Record why {0} stators were rejected,{0} స్టేటర్లు ఎందుకు తిరస్కరించారో నమోదు చేయండి
Refresh,రిఫ్రెష్
Register & Get Warranty Certificate,రిజిస్టర్ చేసి వారంటీ సర్టిఫికెట్ పొందండి
Register Pump,పంప్ రిజిస్టర్ చేయి
Register Sale,అమ్మకం నమోదు చేయి
Register a Pump,పంప్ రిజిస్టర్ చేయండి
Register a Pump You Have Sold,మీరు అమ్మిన పంప్‌ను రిజిస్టర్ చేయండి
Register a Sale,అమ్మకాన్ని నమోదు చేయండి
Registered By,రిజిస్టర్ చేసినవారు
Registered {0} pump(s) and started their warranty.,{0} పంప్(లు) రిజిస్టర్ చేసి వారంటీ మొదలుపెట్టాం.
"Registered, All Time",మొత్తం రిజిస్టర్ చేసినవి
Registering is what starts the warranty and produces the certificate in KUMAR's name.,రిజిస్టర్ చేయడమే వారంటీని మొదలుపెడుతుంది మరియు KUMAR పేరుతో సర్టిఫికెట్ తయారు చేస్తుంది.
Registering...,రిజిస్టర్ అవుతోంది...
Registration,రిజిస్ట్రేషన్
Registrations,రిజిస్ట్రేషన్లు
Rejected,తిరస్కరించబడింది
Rejection Reason,తిరస్కరణ కారణం
Remarks,వ్యాఖ్యలు
Repair Reimbursement,మరమ్మతు ఖర్చు చెల్లింపు
Repeat Failure,పునరావృత లోపం
Repeat Failure Window (Days),పునరావృత లోపం కాలం (రోజులు)
Repeat failure - reported more than once recently,పునరావృత లోపం - ఇటీవల ఒకటికి మించి సార్లు ఫిర్యాదు వచ్చింది
Repeat failure: this pump has been reported more than once recently.,పునరావృత లోపం: ఇటీవల ఈ పంప్ మీద ఒకటికి మించి సార్లు ఫిర్యాదు వచ్చింది.
Reported,ఫిర్యాదు తేదీ
Reported On,ఫిర్యాదు తేదీ
Reports,రిపోర్టులు
Reports & Masters,రిపోర్టులు & మాస్టర్లు
Request,రిక్వెస్ట్
Required to approve a heat with any element out of spec,ఏదైనా మూలకం స్పెక్ దాటినప్పుడు హీట్‌ను ఆమోదించాలంటే ఇది తప్పనిసరి
Resolution,పరిష్కారం
Resolution Due,పరిష్కార గడువు
Resolution Hours,పరిష్కార గంటలు
Resolution Summary,పరిష్కార సారాంశం
Resolved,పరిష్కరించబడింది
Resolved On,పరిష్కరించిన తేదీ
Responded,స్పందించారు
Response Due,స్పందన గడువు
Response Hours,స్పందన గంటలు
Result,ఫలితం
Revenue,ఆదాయం
Revenue by Day,రోజువారీ ఆదాయం
Revenue by Pump Category,పంప్ కేటగిరీ వారీ ఆదాయం
Rework,రీవర్క్
Root Cause,మూల కారణం
Rotor Batch,రోటర్ బ్యాచ్
Rotor Type,రోటర్ రకం
Round,గుండ్రం
Route Card / Traveller,రూట్ కార్డ్ / ట్రావెలర్
Routing,రూటింగ్
Row,వరుస
Rows read,చదివిన వరుసలు
SLA,SLA
SLA Breaches,SLA ఉల్లంఘనలు
SLA Compliance,SLA పాలన
SLA Status,SLA స్థితి
SMS Enabled,SMS ఆన్
Salary Slip,జీతం స్లిప్
Salary Structure,జీతం నిర్మాణం
Sale Channel,అమ్మకం మార్గం
Sale Date,అమ్మిన తేదీ
Sale date cannot be in the future,అమ్మిన తేదీ భవిష్యత్తులో ఉండకూడదు
Sale date is in the future,అమ్మిన తేదీ భవిష్యత్తులో ఉంది
Sale date {0} is before the pump was manufactured ({1}),అమ్మిన తేదీ {0} పంప్ తయారైన తేదీ ({1}) కంటే ముందుంది
Sale date {0} is not a date,అమ్మిన తేదీ {0} సరైన తేదీ కాదు
Sale to End Customer,చివరి కస్టమర్‌కు అమ్మకం
Sales,అమ్మకాలు
Sales & Registration,అమ్మకాలు & రిజిస్ట్రేషన్
Sales Analytics,అమ్మకాల విశ్లేషణ
Sales Invoice,సేల్స్ ఇన్‌వాయిస్
"Sales Invoice {0} is not in ERPNext. A direct sale links to a real invoice - import the old invoices first, or route this row through the dealer channel.","{0} సేల్స్ ఇన్‌వాయిస్ ERPNext లో లేదు. నేరుగా అమ్మకం నిజమైన ఇన్‌వాయిస్‌తో లింక్ అవ్వాలి - ముందు పాత ఇన్‌వాయిస్‌లను ఇంపోర్ట్ చేయండి, లేదా ఈ వరుసను డీలర్ మార్గం ద్వారా పంపండి."
Sales Order,సేల్స్ ఆర్డర్
Sales by Dealer Tier,డీలర్ స్థాయి వారీ అమ్మకాలు
Sales value,అమ్మకాల విలువ
Sales value {0},అమ్మకాల విలువ {0}
Sales/service network. Self-referencing tree: Branch -> Distributor -> Dealer -> Sub-Dealer.,అమ్మకాలు/సర్వీస్ నెట్‌వర్క్. బ్రాంచ్ -> డిస్ట్రిబ్యూటర్ -> డీలర్ -> సబ్-డీలర్ అనే వృక్ష నిర్మాణం.
Same as the period before,గత కాలంలో ఉన్నట్లే
Scan,స్కాన్
Scan Serial,సీరియల్ స్కాన్ చేయి
Scan Serial / Batch,సీరియల్ / బ్యాచ్ స్కాన్ చేయి
"Scan or type a serial number, then press Enter",సీరియల్ నంబర్ స్కాన్ చేయండి లేదా టైప్ చేసి Enter నొక్కండి
Scan to verify warranty status,వారంటీ స్థితి చూడటానికి స్కాన్ చేయండి
Scanned {0},{0} స్కాన్ చేయబడింది
Seal Failure,సీల్ లోపం
Search,వెతకండి
Self-Priming Monobloc,సెల్ఫ్-ప్రైమింగ్ మోనోబ్లాక్
Selling / Silent,అమ్ముతున్నవారు / మౌనంగా ఉన్నవారు
Send to KUMAR,KUMAR కు పంపండి
Sending...,పంపుతోంది...
Serial,సీరియల్
Serial Format (regex),సీరియల్ ఫార్మాట్ (regex)
Serial Genealogy,సీరియల్ వంశవృక్షం
Serial No,సీరియల్ నంబర్
Serial No Ledger,సీరియల్ నంబర్ లెడ్జర్
Serial Number,సీరియల్ నంబర్
Serial and Batch Bundle,సీరియల్ మరియు బ్యాచ్ బండిల్
Serial number is required,సీరియల్ నంబర్ తప్పనిసరి
Serial number {0} does not exist,{0} సీరియల్ నంబర్ లేదు
Serial number {0} not found,{0} సీరియల్ నంబర్ కనిపించలేదు
Serial {0} appears twice in this file,{0} సీరియల్ ఈ ఫైల్‌లో రెండుసార్లు ఉంది
Serial {0} is already registered ({1}).,{0} సీరియల్ ఇప్పటికే రిజిస్టర్ అయింది ({1}).
Serial {0} is already registered under {1}. Amend that registration instead.,{0} సీరియల్ ఇప్పటికే {1} కింద రిజిస్టర్ అయింది. దాన్నే సవరించండి.
Serial {0} is not a KUMAR pump we have any record of.,{0} సీరియల్ మా రికార్డులో ఉన్న KUMAR పంప్ కాదు.
"Serial, customer, mobile or ticket number","సీరియల్, కస్టమర్, మొబైల్ లేదా టికెట్ నంబర్"
Serials created,సృష్టించిన సీరియల్‌లు
Series,సిరీస్
Service,సర్వీస్
Service Centre,సర్వీస్ సెంటర్
Service Centre / Dealer,సర్వీస్ సెంటర్ / డీలర్
Service Desk,సర్వీస్ డెస్క్
Service History,సర్వీస్ చరిత్ర
Service Job Card,సర్వీస్ జాబ్ కార్డ్
Service Manager,సర్వీస్ మేనేజర్
Service Part Used,వాడిన సర్వీస్ పార్ట్
Service Request,సర్వీస్ రిక్వెస్ట్
Service SLA,సర్వీస్ SLA
Service Technician,సర్వీస్ టెక్నీషియన్
Service Visit,సర్వీస్ సందర్శన
Service centre,సర్వీస్ సెంటర్
Service request assigned: {0},సర్వీస్ రిక్వెస్ట్ కేటాయించబడింది: {0}
Set automatically from the outlet. Change it only if the paperwork really went the other way.,అవుట్‌లెట్ ఆధారంగా ఆటోమేటిక్‌గా పెట్టబడుతుంది. కాగితాలు నిజంగా వేరే విధంగా ఉన్నప్పుడే మార్చండి.
Set automatically from warranty status; override if needed,వారంటీ స్థితి ఆధారంగా ఆటోమేటిక్‌గా పెట్టబడుతుంది; అవసరమైతే మార్చవచ్చు
"Set the Dealer as well, otherwise there is nobody to register the pumps against.","డీలర్‌ను కూడా పెట్టండి, లేకపోతే పంపులను ఎవరి పేరుతో రిజిస్టర్ చేయాలో తెలియదు."
Settings,సెట్టింగ్‌లు
Settled On,సెటిల్ చేసిన తేదీ
"Shafts and rotors ground to micron precision, then balanced - which is what keeps bearings alive.","షాఫ్ట్‌లు, రోటర్లను మైక్రాన్ కచ్చితత్వంతో గ్రైండ్ చేసి బ్యాలెన్స్ చేస్తాం - బేరింగ్‌లు ఎక్కువ కాలం మన్నడానికి ఇదే కారణం."
Shift,షిఫ్ట్
Shift {0},షిఫ్ట్ {0}
Shortcuts,షార్ట్‌కట్‌లు
Show QR,QR చూపు
Showing all {0},మొత్తం {0} చూపుతోంది
Showing {0} of {1},{1} లో {0} చూపుతోంది
Sign / QC,సంతకం / QC
Signature,సంతకం
Since 1971,1971 నుండి
Single Phase,సింగిల్ ఫేజ్
Single Stage,సింగిల్ స్టేజ్
Slips,స్లిప్‌లు
Sold,అమ్ముడైంది
Sold By,అమ్మినవారు
Sold Nothing This Period,ఈ కాలంలో ఏమీ అమ్మలేదు
Sold On,అమ్మిన తేదీ
Sold Prev Period,గత కాలంలో అమ్ముడైనవి
"Sold on {0}, before it was built on {1}","{0} న అమ్మారు, కానీ తయారైంది {1} న"
Source,మూలం
Spec Max,స్పెక్ గరిష్ఠం
Spec Min,స్పెక్ కనిష్ఠం
Spectro Readings,స్పెక్ట్రో రీడింగ్‌లు
Spectrometer Analysis (before pouring),స్పెక్ట్రోమీటర్ విశ్లేషణ (పోయడానికి ముందు)
Speed (RPM),వేగం (RPM)
Spend,ఖర్చు
Spend by Day,రోజువారీ ఖర్చు
Spend by Material Type,మెటీరియల్ రకం వారీ ఖర్చు
Square,చతురస్రం
Sri Lakshmi Ganapathi Engineering Works,శ్రీ లక్ష్మీ గణపతి ఇంజనీరింగ్ వర్క్స్
Sri Lakshmi Ganapathi Engineering Works founded at Tenali,తెనాలిలో శ్రీ లక్ష్మీ గణపతి ఇంజనీరింగ్ వర్క్స్ స్థాపన
"Sri Lakshmi Ganapathi Engineering Works, Tenali","శ్రీ లక్ష్మీ గణపతి ఇంజనీరింగ్ వర్క్స్, తెనాలి"
Stage Type,స్టేజ్ రకం
Stainless Steel,స్టెయిన్‌లెస్ స్టీల్
Standard,ప్రమాణం
Start,ప్రారంభం
